sentence_index,original,compressed,decompressed,achieved_compression_ratio,compression_percentage,composite_score,semantic_interpretation,embedding_similarity,llm_similarity,compression_success,model_used,provider
0,"The ancient Mediterranean trading routes, established by Phoenician merchants around 1200 BCE, fundamentally transformed economic relationships between distant civilizations by enabling the exchange of not only goods like purple dye, cedar wood, and precious metals, but also ideas, technologies, and cultural practices that would shape the development of Western civilization.",~12cBC Phoenician⛵️🕸️🌍💰:📦⇄💡/⚙️/🎭⇒🏛️,"Beginning around the 12th century BC, the seafaring Phoenicians established a vast commercial network across the world, where the exchange of goods also facilitated the transfer of ideas, technology, and culture, which in turn laid the foundation for subsequent civilizations.",0.0928381962864721,90.71618037135278,0.4732723836979449,Moderate,0.7434632778167725,0.7,True,gemini-2.5-pro,gemini
1,"Climate scientists at the International Panel on Climate Change have determined through extensive analysis of ice core samples, satellite temperature measurements, and oceanic thermal data that global average temperatures have risen by approximately 1.1 degrees Celsius since pre-industrial times, with the most dramatic increases occurring in the Arctic regions where permafrost melting is accelerating at unprecedented rates.",IPCC(🧊🛰️🌊📊)⇒🌍🌡️↑~1.1°C since pre-ind; Arctic↑↑↑ & permafrost💧⏩,"Based on comprehensive data analysis of ice, oceans, and satellite observations, the Intergovernmental Panel on Climate Change has concluded that global temperatures have risen by approximately 1.1°C since pre-industrial times; the Arctic is warming at a significantly accelerated rate, and its permafrost is thawing rapidly.",0.1451990632318501,85.48009367681499,0.6536236036792082,Good,0.8936611413955688,0.9,True,gemini-2.5-pro,gemini
2,"The human brain's neuroplasticity allows for remarkable adaptation throughout life, as demonstrated by stroke patients who recover speech and motor functions through intensive rehabilitation therapy that essentially rewires neural pathways, creating new connections that bypass damaged areas and restore cognitive abilities previously thought to be permanently lost.","∞ 🧠 plasticity: rehab ↪ stroke dmg, restoring lost fn.","The lifelong plasticity of the brain enables rehabilitation to counteract the damage from a stroke, restoring lost functions.",0.1475409836065573,85.24590163934427,0.4523656042158105,Moderate,0.8074859976768494,0.6,True,gemini-2.5-pro,gemini
3,"Modern cryptocurrency blockchain technology utilizes distributed ledger systems with cryptographic hash functions to create immutable transaction records that are verified by thousands of independent nodes worldwide, eliminating the need for traditional banking intermediaries while consuming enormous amounts of electrical energy in the process.","₿🔗:🌐🔒📜,🆚🏦,☹️⏫⚡","Bitcoin's blockchain is a global and secure public ledger that stands in contrast to traditional banks, but a significant drawback is its high energy consumption.",0.0404624277456647,95.95375722543352,0.4024889206735756,Moderate,0.6513822078704834,0.6,True,gemini-2.5-pro,gemini
4,"The James Webb Space Telescope, positioned at the second Lagrange point approximately 1.5 million kilometers from Earth, uses its 6.5-meter segmented mirror and advanced infrared instruments to observe the universe's earliest galaxies, some formed just 400 million years after the Big Bang, providing unprecedented insights into cosmic evolution and star formation processes.","JWST@L2(1.5Gm🌍)6.5m⬢IR🔭👀🌌(BB+400Ma)→💡🌌📜,⭐🌱","The James Webb Space Telescope, an infrared observatory with a 6.5-meter hexagonal mirror positioned 1.5 million kilometers from Earth at the second Lagrange point, observes the early universe approximately 400 million years after the Big Bang to shed light on cosmic history and the formation of stars.",0.112,88.8,0.7329299482535823,Good,0.9445128440856934,0.9,True,gemini-2.5-pro,gemini
5,"Quantum entanglement, described by Einstein as 'spooky action at a distance,' occurs when two particles become correlated in such a way that measuring the quantum state of one particle instantly determines the state of its partner, regardless of the physical distance separating them, challenging our classical understanding of locality and causality in physics.","QE: 2p🔗; measuring 1 ⚡→ψ₂ ∀Δx, challenging locality.","Quantum entanglement is the phenomenon where two particles are linked such that measuring one instantaneously determines the state of the other, regardless of the distance separating them, which challenges the principle of locality.",0.143646408839779,85.6353591160221,0.5997661573776982,Moderate,0.854459822177887,0.8,True,gemini-2.5-pro,gemini
6,"The Amazon rainforest ecosystem supports over 400 billion individual trees representing approximately 16,000 different species, creates roughly 20% of the world's oxygen, and serves as home to an estimated 10% of Earth's biodiversity, while also playing a crucial role in global climate regulation through its massive carbon storage capacity.","Amazon🌳: >400B🌴/16k spp, →20%🌍O₂, 10%🌍🧬, key🌍C-sink","The Amazon rainforest is home to more than 400 billion trees and 16,000 species, produces 20% of the Earth's oxygen, contains 10% of the world's biodiversity, and is a key global carbon sink.",0.1491228070175438,85.08771929824562,0.6576519274549203,Good,0.9163529872894288,0.9,True,gemini-2.5-pro,gemini
7,"Machine learning algorithms trained on vast datasets of human language can now generate coherent text, translate between languages, answer complex questions, and even write computer code, but they fundamentally operate through statistical pattern recognition rather than true understanding, raising philosophical questions about the nature of intelligence and consciousness.",LLMs:🗣️✍️💻 via 📈🕸️ patterns. Not true 🤔 ∴ Φ(🧠&C)?,"While Large Language Models generate language and code by recognizing statistical patterns within their neural networks, this is not genuine cognition, which therefore raises the question of whether they lack the consciousness that arises from a biological mind.",0.1310160427807486,86.89839572192514,0.4176815010643965,Moderate,0.5840351581573486,0.7,True,gemini-2.5-pro,gemini
8,"The Great Pacific Garbage Patch, a massive accumulation of plastic debris floating in the North Pacific Ocean between Hawaii and California, covers an area larger than twice the size of Texas and contains an estimated 80,000 metric tons of plastic waste that poses severe threats to marine life through ingestion, entanglement, and toxic chemical leaching.","N🌊🗑️(HI-CA) >2xTX ~80kt 🐟(🍽️,🕸️,🧪)☠️","The North Pacific garbage patch, located in the ocean between Hawaii and California, is now more than twice the size of Texas with an estimated weight of 80,000 tons, and it is killing marine life through the ingestion of plastic, entanglement in debris, and chemical poisoning.",0.1011235955056179,89.8876404494382,0.7159962924860395,Good,0.9173129200935364,0.9,True,gemini-2.5-pro,gemini
9,"CRISPR-Cas9 gene editing technology allows scientists to make precise modifications to DNA sequences by using a guide RNA to direct the Cas9 enzyme to specific genomic locations where it cuts the double helix, enabling researchers to delete, insert, or replace genetic material with unprecedented accuracy and potentially cure inherited diseases.","CRISPR:gRNA🧭C9✂️✨🎯🧬⇒➖➕🔄,~⚕️🧬💔","The CRISPR-Cas9 system utilizes a guide RNA to navigate the Cas9 enzyme to a specific target on a DNA strand, where it makes a precise cut, which enables the removal, addition, or replacement of genetic material, holding therapeutic promise for correcting genetic diseases.",0.0838150289017341,91.6184971098266,0.611006757424392,Good,0.8869946002960205,0.9,True,gemini-2.5-pro,gemini
