sentence_index,original,compressed,decompressed,achieved_compression_ratio,compression_percentage,composite_score,semantic_interpretation,embedding_similarity,llm_similarity,compression_success,model_used,provider
0,"The ancient Mediterranean trading routes, established by Phoenician merchants around 1200 BCE, fundamentally transformed economic relationships between distant civilizations by enabling the exchange of not only goods like purple dye, cedar wood, and precious metals, but also ideas, technologies, and cultural practices that would shape the development of Western civilization.",🌍📜Phoenicians (1200 BCE): 🛳️💱🔄🛠️📚🎭→🌍📖 Western roots.,"The Phoenicians, around 1200 BCE, were skilled seafarers and traders who facilitated the exchange of goods, tools, knowledge, and cultural practices, including writing and art, which significantly influenced the foundational development of Western civilization.",0.1379310344827586,86.20689655172413,0.5105901555481511,Moderate,0.7296844720840454,0.7,True,gpt-4o-2024-11-20,openai
1,"Climate scientists at the International Panel on Climate Change have determined through extensive analysis of ice core samples, satellite temperature measurements, and oceanic thermal data that global average temperatures have risen by approximately 1.1 degrees Celsius since pre-industrial times, with the most dramatic increases occurring in the Arctic regions where permafrost melting is accelerating at unprecedented rates.",IPCC: 🌍↑1.1°C vs pre-industrial; ❄️Arctic warming fastest.,"The Intergovernmental Panel on Climate Change (IPCC) reports that the Earth's average temperature has risen by 1.1 degrees Celsius compared to pre-industrial levels, with the Arctic experiencing the fastest rate of warming.",0.1358313817330211,86.41686182669788,0.4977730892914662,Moderate,0.7225567102432251,0.7,True,gpt-4o-2024-11-20,openai
2,"The human brain's neuroplasticity allows for remarkable adaptation throughout life, as demonstrated by stroke patients who recover speech and motor functions through intensive rehabilitation therapy that essentially rewires neural pathways, creating new connections that bypass damaged areas and restore cognitive abilities previously thought to be permanently lost.",🧠↔️🔄=adapt; rewires➡️restore⚙️+lost functions.,"The brain has the ability to adapt and rewire itself, enabling the restoration of lost functions.",0.1256830601092896,87.43169398907104,0.3846410607231056,Poor,0.7213769555091858,0.5,True,gpt-4o-2024-11-20,openai
3,"Modern cryptocurrency blockchain technology utilizes distributed ledger systems with cryptographic hash functions to create immutable transaction records that are verified by thousands of independent nodes worldwide, eliminating the need for traditional banking intermediaries while consuming enormous amounts of electrical energy in the process.",⛓️+🌍📜+🔒➡️📊🔐✔️♾️🔄🏦❌⚡⬆️,"The interconnected global system of agreements and secure protocols leads to data encryption, ensuring infinite cycles of secure transactions without disruptions, while enhancing financial stability and efficiency.",0.0606936416184971,93.9306358381503,0.2585174380289382,Poor,0.5576177835464478,0.3,True,gpt-4o-2024-11-20,openai
4,"The James Webb Space Telescope, positioned at the second Lagrange point approximately 1.5 million kilometers from Earth, uses its 6.5-meter segmented mirror and advanced infrared instruments to observe the universe's earliest galaxies, some formed just 400 million years after the Big Bang, providing unprecedented insights into cosmic evolution and star formation processes.",JWST@L2(1.5Mkm)🔭6.5m+IR sees 400Myr post-🅱️🌌→cosmic evo.,"The James Webb Space Telescope, positioned at the second Lagrange point approximately 1.5 million kilometers from Earth, with its 6.5-meter infrared mirror, observes the universe as it appeared 400 million years after the Big Bang, providing insights into cosmic evolution.",0.1493333333333333,85.06666666666666,0.7209984263183712,Good,0.9420849084854126,0.7,True,gpt-4o-2024-11-20,openai
5,"Quantum entanglement, described by Einstein as 'spooky action at a distance,' occurs when two particles become correlated in such a way that measuring the quantum state of one particle instantly determines the state of its partner, regardless of the physical distance separating them, challenging our classical understanding of locality and causality in physics.","⚛️🔗Quantum entanglement defies 🕒📏, enabling instant🌌.","Quantum entanglement defies the constraints of time and space, enabling instantaneous connections across the universe.",0.1464088397790055,85.35911602209944,0.3680462809380627,Poor,0.6736001372337341,0.5,True,gpt-4o-2024-11-20,openai
6,"The Amazon rainforest ecosystem supports over 400 billion individual trees representing approximately 16,000 different species, creates roughly 20% of the world's oxygen, and serves as home to an estimated 10% of Earth's biodiversity, while also playing a crucial role in global climate regulation through its massive carbon storage capacity.","🌳Amazon:$400B,16K🦜,10%🌍bio,20%🌬️O₂,♻️CO₂,🌡️↔️","The Amazon rainforest, valued at $400 billion, is home to 16,000 species of parrots and contributes 10% of the Earth's biodiversity. It produces 20% of the planet's oxygen, recycles carbon dioxide, and plays a crucial role in regulating global temperatures.",0.131578947368421,86.8421052631579,0.4629297678568,Moderate,0.7515591979026794,0.4,True,gpt-4o-2024-11-20,openai
7,"Machine learning algorithms trained on vast datasets of human language can now generate coherent text, translate between languages, answer complex questions, and even write computer code, but they fundamentally operate through statistical pattern recognition rather than true understanding, raising philosophical questions about the nature of intelligence and consciousness.",🤖📚→📝🌐💻❓; ⚙️≠🧠→🤔+🧵AI.,"Robots and artificial intelligence can process and generate information for the digital world, but does that mean they truly understand it? Technology is not the same as human intelligence, which involves critical thinking and interconnected reasoning.",0.053475935828877,94.6524064171123,0.2808991990643234,Poor,0.4666457176208496,0.4,True,gpt-4o-2024-11-20,openai
8,"The Great Pacific Garbage Patch, a massive accumulation of plastic debris floating in the North Pacific Ocean between Hawaii and California, covers an area larger than twice the size of Texas and contains an estimated 80,000 metric tons of plastic waste that poses severe threats to marine life through ingestion, entanglement, and toxic chemical leaching.","🌊🗑️: 2×TX, 80kT plastic, 🐟⚠️ (ingest, entangle, ☠️).","The ocean is being polluted with approximately 80,000 tons of plastic annually, equivalent to two times the weight of the Titanic, which poses severe risks to marine life as fish ingest the plastic, become entangled in it, and face fatal consequences.",0.146067415730337,85.39325842696628,0.3954748052107867,Poor,0.651779294013977,0.5,True,gpt-4o-2024-11-20,openai
9,"CRISPR-Cas9 gene editing technology allows scientists to make precise modifications to DNA sequences by using a guide RNA to direct the Cas9 enzyme to specific genomic locations where it cuts the double helix, enabling researchers to delete, insert, or replace genetic material with unprecedented accuracy and potentially cure inherited diseases.",🧬CRISPR-Cas9🔧DNA w/🧭RNA➡️🎯gene edits🩺cure diseases.,"CRISPR-Cas9 technology uses a DNA-editing tool guided by RNA to precisely target and modify genes, offering the potential to cure diseases.",0.1473988439306358,85.26011560693641,0.5270160996299756,Moderate,0.9467933177947998,0.7,True,gpt-4o-2024-11-20,openai
